date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:20	315504/315504	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2007:20:05%20GMT	https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.html	(from )
14:20:20	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/robots.txt		(from )
14:20:21	18351/18351	---MC-	200	added ('OK')	image/png	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/apple-touch-icon.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/apple-touch-icon.png	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:21	292651/292651	---M--	200	added ('OK')	image/jpeg	etag:%2259ee5d97f0a694b134c1e1b4e2afbf47%22	https://cdn.tb.co.th/property/95241/watermark/95241.%e0%b8%ab%e0%b8%a1%e0%b8%b9%e0%b9%88%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b8%a7%e0%b8%b4%e0%b9%80%e0%b8%a8%e0%b8%a9%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%99%e0%b8%84%e0%b8%a316-%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%8a%e0%b8%b2%e0%b8%ad%e0%b8%b8%e0%b8%97%e0%b8%b4%e0%b8%a890-95241-6231.rl.jpeg	d:/My%20Web%20Sites/https___tb.co.th/cdn.tb.co.th/property/95241/watermark/95241.%e0%b8%ab%e0%b8%a1%e0%b8%b9%e0%b9%88%e0%b8%9a%e0%b9%89%e0%b8%b2%e0%b8%99%e0%b8%a7%e0%b8%b4%e0%b9%80%e0%b8%a8%e0%b8%a9%e0%b8%aa%e0%b8%b8%e0%b8%82%e0%b8%99%e0%b8%84%e0%b8%a316-%e0%b8%9b%e0%b8%a3%e0%b8%b0%e0%b8%8a%e0%b8%b2%e0%b8%ad%e0%b8%b8%e0%b8%97%e0%b8%b4%e0%b8%a890-95241-6231.rl.jpg	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:21	2269/2269	---MC-	200	added ('OK')	image/png	date:Fri,%2029%20Nov%202024%2014:55:49%20GMT	https://tb.co.th/favicon-32x32.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/favicon-32x32.png	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:21	1662/1662	---MC-	200	added ('OK')	image/png	date:Sat,%2019%20Oct%202024%2005:12:44%20GMT	https://tb.co.th/favicon-16x16.png	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/favicon-16x16.png	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:22	346621/346621	---MCZ	200	added ('OK')	text/css	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/css/mdi/materialdesignicons.min.css	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/css/mdi/materialdesignicons.min.css	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:22	346626/346626	---M-Z	200	added ('OK')	text/css	etag:W/%2254a02-OVjZUfBzAil15Q3gxxGhe/obcD8%22	https://cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	d:/My%20Web%20Sites/https___tb.co.th/cdn.jsdelivr.net/npm/@mdi/font@latest/css/materialdesignicons.min.css	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:22	3850/3850	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2015%20Jul%202024%2009:04:58%20GMT	https://tb.co.th/js/social_external.js?v=3	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/js/social_external30f4.js	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:23	96137/96137	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2026%20Oct%202024%2015:54:42%20GMT	https://tb.co.th/js/jquery.min.js	d:/My%20Web%20Sites/https___tb.co.th/tb.co.th/js/jquery.min.js	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
14:20:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2003%20Dec%202024%2007:20:08%20GMT	https://www.googletagmanager.com/gtm.js?id=	d:/My%20Web%20Sites/https___tb.co.th/www.googletagmanager.com/gtm.95445.delayed	(from https://tb.co.th/property/%c2%a2%c3%92%c3%82%c2%b7%c3%92%c3%87%c2%b9%c3%ac%c3%a0%c3%8e%c3%a9%c3%92%c3%8a%c3%ac-%c3%8b%c3%81%c3%99%c3%a8%c2%ba%c3%a9%c3%92%c2%b9%c3%87%c3%94%c3%a0%c3%88%c3%89%c3%8a%c3%98%c2%a2%c2%b9%c2%a4%c3%83-16-%c2%bb%c3%83%c3%90%c2%aa%c3%92%c3%8d%c3%98%c2%b7%c3%94%c3%88-90-%c3%8a%c3%81%c3%98%c2%b7%c3%83%c2%bb%c3%83%c3%92%c2%a1%c3%92%c3%83.p.95241)
